ko,en,en-US
"[단독]스파크 단산, 한국지엠 '경차' 31년 만에 역사 뒤안길로","[Exclusive] GM Spark to be discontinued, 31 years old of history GM Korea’s ‘compact car’ goes back to history after 31 years","[Exclusive] Spark Dansan, GM Korea’s ‘compact car’ goes back to history after 31 years"
한국지엠이 쉐보레 브랜드로 판매하던 경형 승용차 '스파크'의 생산을 종료한다.,"GM Korea will end production of the compact passenger car 'Spark', which was sold under the Chevrolet brand.","GM Korea will end production of the compact passenger car 'Spark', which was sold under the Chevrolet brand."
1991년 '티코'로 시작해 '마티즈' '스파크'로 이어진 한국지엠의 경차 라인업이 31년 만에 역사 뒤안길로 사라진다.,"GM Korea's compact car lineup, which started with the 'Tico' in 1991 and continued with the 'Matiz' and 'Spark', disappears into history after 31 years.","GM Korea's compact car lineup, which started with the 'Tico' in 1991 and continued with the 'Matiz' and 'Spark', disappears into history after 31 years."
한국지엠은 지난 9월을 마지막으로 창원공장의 주력 생산 차종인 스파크를 단산했다.,"GM Korea discontinued production of the Spark, the flagship model of its Changwon plant, last September.","GM Korea discontinued production of the Spark, the flagship model of its Changwon plant, last September."
현재까지 생산해 둔 재고 차량을 소진하면 스파크의 생산과 판매는 완전히 종료된다.,"When the stock vehicles produced so far are exhausted, the production and sales of Spark will be completely ceased.","When the stock vehicles produced so far are exhausted, the production and sales of Spark will be completely terminated."
한때 한국지엠의 생산량을 책임져 온 스파크는 모델 노후화와 경차 시장 위축으로 해마다 판매량이 감소했다.,"The Spark, which was once responsible for GM Korea's production volume, has seen a decrease in sales every year due to model obsolescence and a contraction in the compact car market.","The Spark, which was once responsible for GM Korea's production volume, has seen a decrease in sales every year due to model obsolescence and a contraction in the compact car market."
지난 2020년 국내에서 2만8935대가 팔린 스파크는 지난해 1만7975대로 판매량이 줄었다.,"The Spark, which sold 28,935 units in Korea in 2020, decreased to 17,975 units last year.","The Spark, which sold 28,935 units in Korea in 2020, decreased to 17,975 units last year."
올해는 1~9월까지는 지난해 같은 기간 대비 40% 줄어든 8974대에 그치는 등 월평균 1000대 수준까지 하락했다.,"This year, from January to September, the monthly average fell to 1,000 units, with only 8974 units, a decrease of 40% compared to the same period last year.","This year, from January to September, the monthly average fell to 1,000 units, with only 8974 units, a decrease of 40% compared to the same period last year."
한국지엠은 “스파크 단산 전에 상당한 물량을 생산해서 당장 판매가 중단되지는 않는다”면서 “올해 말이나 내년 초까지는 판매가 충분히 가능할 것”이라고 밝혔다.,"GM Korea said, “We produced a significant amount before the discontinuation of the Spark, so sales will not stop immediately,” and “sales will be possible by the end of this year or early next year.”","GM Korea said, “We produced a significant amount before the discontinuation of the Spark, so sales will not stop immediately,” and “sales will be possible by the end of this year or early next year.”"
스파크는 우리나라 경차 대명사로 불리던 대우자동차 시절 마티즈를 계승한 모델이다.,"The Spark is a model that succeeded the Matiz during the days of Daewoo Motors, which was called the epitome of compact cars in Korea.","The Spark is a model that succeeded the Matiz during the days of Daewoo Motors, which was called the epitome of compact cars in Korea."
